"","bids_name","scanner","parent_site","scanner_type","subj","year","cnr","snr_csf","snr_gm","snr_total","snr_wm","snrd_csf","snrd_gm","snrd_total","snrd_wm"
"1","sub-01_ses-Y1CMH_run-1_T1w","CMH","CM","GE","sub-01","ses-Y1",2.9148559192674,2.87214663028506,9.94264970246548,10.2550199838612,17.950263618833,17.4333731389919,31.8230626144079,30.9985623821224,43.7392513929674
"2","sub-01_ses-Y1MRC_run-1_T1w","MRC","MR","GE","sub-01","ses-Y1",2.44527531757177,3.12379883563551,7.79233575035426,7.91461591984791,12.8277131735539,13.7041331589772,29.4007724115079,28.3174289794609,41.8473813678976
"3","sub-01_ses-Y1MRC_run-2_T1w","MRC","MR","GE","sub-01","ses-Y1",2.40468293203102,2.97440233582269,7.52336452402767,7.78263734956816,12.8501451888541,13.8184675202558,29.0229184429663,28.051254853452,41.3123785971338
"4","sub-01_ses-Y1MRC_run-3_T1w","MRC","MR","GE","sub-01","ses-Y1",2.34120618968539,3.05314939640334,7.49808430602336,7.542785695033,12.0771233826723,13.527256824893,29.0772590749051,28.0087091235249,41.4216114707766
"5","sub-01_ses-Y1ZHH_run-1_T1w","ZHH","ZH","GE","sub-01","ses-Y1",2.62039024008515,3.66147593271349,9.27581823589084,9.02253206181192,14.1303020168314,32.3886866770884,47.8882563575563,49.0509523002853,66.8759138662113
"6","sub-01_ses-Y2CMH_run-1_T1w","CMH","CM","GE","sub-01","ses-Y2",2.77673230066241,2.31800404584656,10.1179390201786,9.60131353837096,16.3679975490877,14.5346192986876,30.8240787663676,29.1564411239636,42.1106253068356
"7","sub-01_ses-Y2MRC_run-1_T1w","MRC","MR","GE","sub-01","ses-Y2",2.58323283254382,3.1351524925742,8.5088624635541,8.46057976132778,13.737724327855,13.8713343236704,29.5632998437043,28.4037810093336,41.7767088606262
"8","sub-01_ses-Y2MRC_run-2_T1w","MRC","MR","GE","sub-01","ses-Y2",2.47314628555087,2.77858031453263,7.89560215602997,7.87424979239741,12.9485669066296,13.9756026519218,29.6679668049653,28.6240909347849,42.2287033474675
"9","sub-01_ses-Y2MRC_run-3_T1w","MRC","MR","GE","sub-01","ses-Y2",2.44532364138362,2.9267180501519,7.93320690141806,7.86808945125494,12.7443434021948,13.8368865375308,29.6078326250657,28.4994634050738,42.0536710526249
"10","sub-01_ses-Y2ZHH_run-1_T1w","ZHH","ZH","GE","sub-01","ses-Y2",2.89835584965126,2.79190814392973,10.0601885614897,9.46997600712872,15.5578313159668,25.6558934975078,42.4368508328005,42.4629950779243,59.2962409034646
"11","sub-02_ses-Y3CMH_run-1_T1w","CMH","CM","GE","sub-02","ses-Y3",3.02555200138614,2.07626370173524,9.52981867124996,9.59235675897635,17.1709879039438,10.6822132855207,26.6647687539828,24.9935196920062,37.6335770365152
"12","sub-02_ses-Y3MRP_run-1_T1w","MRP","MR","prisma","sub-02","ses-Y3",2.31569244737101,2.59864209353338,5.08945647868053,4.31862907749795,5.26778866027994,10.9130049349265,17.3816007686232,21.0027675954197,34.7136970827094
"13","sub-02_ses-Y3MRP_run-2_T1w","MRP","MR","prisma","sub-02","ses-Y3",2.30170776670954,2.77625888664852,5.13449091661157,4.38671877417087,5.24940651925252,10.7667703343948,17.3231188739853,20.8526921124701,34.4681871290303
"14","sub-02_ses-Y3MRP_run-3_T1w","MRP","MR","prisma","sub-02","ses-Y3",2.30834647576603,2.84325574189749,4.98156497575724,4.3657076633587,5.27230227242138,11.0001949925803,17.3805076759599,21.0380707191145,34.7335094888032
"15","sub-02_ses-Y3ZHP_run-1_T1w","ZHP","ZH","prisma","sub-02","ses-Y3",2.07617708777561,2.36265776217119,5.20821264801308,4.01805981483616,4.48330903432421,9.43435588708631,15.1520759442584,18.4090669030236,30.640768877726
"16","sub-02_ses-Y4CMP_run-1_T1w","CMP","CM","prisma","sub-02","ses-Y4",2.10475910492227,1.26215869092462,4.51763710990666,3.4134199725911,4.46046411694202,15.9504960657309,24.5940907435132,30.6821759903863,51.5019411619148
"17","sub-03_ses-Y1CMH_run-1_T1w","CMH","CM","GE","sub-03","ses-Y1",3.07454080894067,2.63708977277901,9.71807096290921,10.2989976990124,18.541832361349,12.2296436520826,30.9189245881723,28.7996291271202,43.2503191411057
"18","sub-03_ses-Y1MRC_run-1_T1w","MRC","MR","GE","sub-03","ses-Y1",2.40086053621627,3.80442931971759,7.76840581702983,8.20794635038249,13.0510039144001,11.8415669252789,26.8164552479311,25.5079760161805,37.8659058753314
"19","sub-03_ses-Y1MRC_run-2_T1w","MRC","MR","GE","sub-03","ses-Y1",2.3896698592411,3.74124462439673,7.50775029560451,8.01939980328737,12.8092044898609,11.8516077148425,26.83222972275,25.6167146487041,38.1663065085197
"20","sub-03_ses-Y1MRC_run-3_T1w","MRC","MR","GE","sub-03","ses-Y1",2.42248482098343,3.86740325734332,7.36916860122296,7.91242770512129,12.5007112567976,11.4045744673833,25.7291531820222,24.7226473975879,37.0342145433584
"21","sub-03_ses-Y1MRC_run-4_T1w","MRC","MR","GE","sub-03","ses-Y1",2.43196397757624,3.75246309356524,7.07468134207202,7.05504693249146,10.3379963618371,13.9633093284972,30.517643782027,30.1018685803643,45.8246526305687
"22","sub-03_ses-Y1ZHH_run-1_T1w","ZHH","ZH","GE","sub-03","ses-Y1",2.38989458674615,3.20767376392256,8.68630799681525,8.43059986403132,13.3978178313562,39.3241956102406,61.4134425505078,61.766390996892,84.5615348299277
"23","sub-03_ses-Y2CMH_run-1_T1w","CMH","CM","GE","sub-03","ses-Y2",3.19024820132757,2.94691470369817,10.0406505302258,10.2954957783856,17.8989221012327,17.3801705467995,30.9712345564758,30.691990053601,43.7245650575279
"24","sub-03_ses-Y2MRC_run-1_T1w","MRC","MR","GE","sub-03","ses-Y2",2.37017077568249,3.48138337365491,6.59717706550165,6.69462459254344,10.0053133384738,13.9818300317844,30.5823326831068,30.2501884068334,46.186402505609
"25","sub-03_ses-Y2MRC_run-2_T1w","MRC","MR","GE","sub-03","ses-Y2",2.33039304356608,3.63431111191688,6.70288542379678,6.76114071423143,9.94622560698063,13.6615401232015,29.8244397228408,29.3766047571689,44.6438344254644
"26","sub-03_ses-Y2ZHH_run-1_T1w","ZHH","ZH","GE","sub-03","ses-Y2",2.70983631578284,2.47160006635281,9.3329921968708,8.8590018174717,14.7724131891915,27.1627046339077,52.4656528689842,50.9028096897925,73.0800715664854
"27","sub-03_ses-Y3CMH_run-1_T1w","CMH","CM","GE","sub-03","ses-Y3",2.9131191806801,2.61027716311679,9.32466787607511,9.47279036702883,16.4834260618946,14.3407533028475,28.4738639766991,27.6136634989185,40.0263732172089
"28","sub-03_ses-Y3MRP_run-1_T1w","MRP","MR","prisma","sub-03","ses-Y3",2.24613516049766,3.74072438869474,4.72488773490158,4.78400372802739,5.88639906048586,11.4668559800301,17.3349250433769,20.3329818222207,32.1971644432551
"29","sub-03_ses-Y3MRP_run-2_T1w","MRP","MR","prisma","sub-03","ses-Y3",2.2168791180282,3.76753508925448,4.74604341307013,4.73333714118939,5.68643292124356,11.9447601925909,18.4237901988659,21.6020153988536,34.4374958051039
"30","sub-03_ses-Y3MRP_run-3_T1w","MRP","MR","prisma","sub-03","ses-Y3",2.19059731387582,3.79020280009801,4.71400920044461,4.70495556936684,5.61065470755789,11.8029842811022,17.9212570496244,21.071135104299,33.4891639821706
"31","sub-03_ses-Y3ZHP_run-1_T1w","ZHP","ZH","prisma","sub-03","ses-Y3",1.91395135984794,3.21661367350585,5.25141091379678,4.36272495592585,4.62015028047492,7.48600548084329,13.041581249176,14.9123436689404,24.2094442768019
"32","sub-03_ses-Y4CMP_run-1_T1w","CMP","CM","prisma","sub-03","ses-Y4",2.3708140805941,3.43492944220391,4.50191884732562,4.6594434987222,6.04148220663707,16.5452292372119,24.2733734336664,29.1762230001727,46.7100663296399
"33","sub-04_ses-Y1CMH_run-1_T1w","CMH","CM","GE","sub-04","ses-Y1",2.79691575624955,3.38914809229097,10.1537076093431,10.6635648173637,18.4478387504569,17.1264551429644,29.0714081141302,28.4810544015521,39.2452999475617
"34","sub-04_ses-Y1MRC_run-1_T1w","MRC","MR","GE","sub-04","ses-Y1",2.07218508593468,3.56128775780651,6.8928967609057,7.4505673870187,11.8975176423439,14.6980949926231,31.4288835678211,30.041066366223,43.9962205382248
"35","sub-04_ses-Y1MRC_run-2_T1w","MRC","MR","GE","sub-04","ses-Y1",2.17555073602764,3.65061179725305,7.20889364013144,7.9260150503587,12.9185397136916,14.6416056421634,31.132405546616,29.7239663032634,43.3978877210108
"36","sub-04_ses-Y1ZHH_run-1_T1w","ZHH","ZH","GE","sub-04","ses-Y1",2.39577531772594,3.13728206603937,9.04739179288558,9.11301550193913,15.1543726468924,19.8763330000204,32.6925499603964,32.274038827429,44.2532335218703
"37","sub-04_ses-Y2CMH_run-1_T1w","CMH","CM","GE","sub-04","ses-Y2",3.00721176041345,3.28157701863082,9.9954605594304,10.7975012280657,19.115466106136,16.4941237721456,28.7207494093308,28.2672781097737,39.5869611478446
"38","sub-04_ses-Y2MRC_run-1_T1w","MRC","MR","GE","sub-04","ses-Y2",1.89454826551412,3.81637091974232,6.02415836048239,6.59975869947559,9.95874681820206,13.7500508274192,29.0783534217169,28.067179714389,41.3731348940309
"39","sub-04_ses-Y2MRC_run-2_T1w","MRC","MR","GE","sub-04","ses-Y2",1.9101986278329,3.66896443800563,6.24786247632265,6.61448355368027,9.92662374671255,13.9024939227782,29.7927760993958,28.6512433684086,42.2584600830519
"40","sub-04_ses-Y2MRC_run-3_T1w","MRC","MR","GE","sub-04","ses-Y2",1.89611254606272,3.61397074098002,6.6820167978369,6.52692045803155,9.28477383527773,14.1625741257362,29.7604964464537,28.6634198699214,42.0671890375744
"41","sub-04_ses-Y2ZHH_run-1_T1w","ZHH","ZH","GE","sub-04","ses-Y2",2.71506590912454,3.61768474039421,9.7758051770147,9.94410926154234,16.4388378672181,21.8883689146269,32.4508920460751,32.9096537898438,44.3897004088295
"42","sub-04_ses-Y3CMH_run-1_T1w","CMH","CM","GE","sub-04","ses-Y3",3.02230252353735,3.54774934313999,9.95143865130187,10.448425769176,17.846089313086,16.6724467192243,27.7522421969372,27.6969059369134,38.6660288945789
"43","sub-04_ses-Y3MRP_run-1_T1w","MRP","MR","prisma","sub-04","ses-Y3",1.92534953287619,3.23104613155489,5.80309446715869,4.43120201854418,4.25946545691897,11.5803804991715,17.1706157734041,20.7183500842314,33.4040539801187
"44","sub-04_ses-Y3MRP_run-2_T1w","MRP","MR","prisma","sub-04","ses-Y3",2.00573830246693,3.33451564899412,5.87150963351437,4.52907999954388,4.38121471612314,11.5988138713604,16.7383912118112,20.454014459726,33.0248382960064
"45","sub-04_ses-Y3MRP_run-3_T1w","MRP","MR","prisma","sub-04","ses-Y3",2.0195261926646,3.37229535288157,5.57396323389237,4.4547868823471,4.41810206026737,11.940112388119,17.4024394660771,21.2939768125745,34.5393785835274
"46","sub-04_ses-Y3ZHP_run-1_T1w","ZHP","ZH","prisma","sub-04","ses-Y3",1.60531171054678,3.15557233300284,6.0327333001089,4.20876266001541,3.4379823469345,11.8643661718027,17.2563183921919,20.9301818847583,33.6698610902803
"47","sub-04_ses-Y4CMP_run-1_T1w","CMP","CM","prisma","sub-04","ses-Y4",2.17237559867775,3.06504762117938,5.64714186587491,4.42105802447032,4.55098458635667,14.547875276325,20.0578620722363,25.298411376205,41.2894967800537
